Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Croatia,HRV,11.60,11.14,11.47,11.57,11.68,11.79,9.68,9.71,11.39,13.56,16.06,15.60,15.05,13.92,13.66,12.60,11.13,9.91,8.53,9.20,11.62,13.68,15.93,17.25,17.29,16.18,13.10,11.21
Hungary,HUN,1.70,8.50,7.43,7.27,7.11,6.96,6.80,6.64,6.48,6.32,6.56,5.67,5.61,5.55,5.83,7.19,7.49,7.41,7.82,10.03,11.17,11.03,11.00,10.18,7.73,6.81,5.11,4.16
IBRD only,IBD,4.85,4.91,4.96,5.02,4.08,4.78,4.98,5.19,5.60,5.85,4.97,5.98,6.40,6.41,6.29,5.57,5.62,5.77,5.62,5.91,4.77,5.42,4.65,4.82,4.76,4.69,4.63,4.57
IDA blend,IDB,3.00,2.71,2.43,2.14,1.85,1.57,1.28,1.45,1.62,1.79,1.96,2.14,2.31,2.48,2.65,2.82,2.99,3.17,3.34,3.51,3.68,3.85,4.02,4.19,4.37,4.54,4.71,4.88
Indonesia,IDN,2.51,2.54,2.67,2.73,2.81,2.89,4.37,4.68,5.46,6.30,6.08,6.08,6.60,6.66,7.30,7.94,7.55,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.30,4.18
Isle of Man,IMN,2.10,4.55,4.30,4.90,4.70,4.40,3.70,3.00,2.30,0.80,0.60,0.40,0.50,0.80,1.00,1.40,1.40,1.40,1.40,1.90,2.40,3.30,3.00,2.60,1.98,2.00,2.67,3.33
India,IND,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.73,2.73,2.73,2.73,2.73,3.10,3.10,3.10,3.10,3.10,2.44,2.44,2.69,2.69,2.69,2.69,2.69,2.69
Ireland,IRL,14.09,15.78,15.03,15.59,14.57,11.98,11.72,10.20,7.70,5.80,4.32,3.68,4.22,4.48,4.49,4.34,4.41,4.98,6.77,12.61,14.53,15.35,15.45,13.74,11.86,9.90,8.37,6.71
"Iran, Islamic Rep.",IRN,11.10,11.10,11.21,11.22,11.24,11.26,9.10,11.76,11.74,11.72,11.70,11.68,12.80,11.29,10.30,12.10,11.20,10.60,10.48,11.97,13.52,12.45,12.63,10.44,10.57,11.06,12.43,12.10
Iraq,IRQ,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,7.96,7.96,10.59,10.59,10.82,13.02
Iceland,ISL,3.30,2.55,4.30,5.26,5.33,5.20,3.60,3.72,3.07,2.18,1.94,1.87,2.99,4.00,4.03,2.55,2.83,2.25,2.95,7.22,7.56,7.03,6.00,5.38,4.90,3.98,2.98,2.74
Israel,ISR,12.24,13.39,14.08,12.74,9.93,8.78,8.45,9.75,10.75,11.18,11.10,11.81,12.89,13.51,13.03,11.34,10.71,9.38,7.70,9.53,8.48,7.14,6.86,6.21,5.89,5.25,4.80,4.22
Italy,ITA,12.10,10.02,10.96,10.24,15.04,14.32,13.61,12.89,12.12,11.69,10.84,9.60,9.21,8.87,7.87,7.73,6.78,6.08,6.72,7.75,8.36,8.36,10.65,12.15,12.68,11.90,11.69,11.21
Jamaica,JAM,15.72,15.74,15.75,16.32,15.34,16.23,16.01,16.35,15.50,15.74,15.54,14.93,14.19,11.74,11.44,11.26,10.32,9.75,10.33,11.36,12.37,12.70,13.93,15.25,13.74,13.51,13.19,11.66
Jordan,JOR,19.20,21.50,19.94,19.70,15.50,14.60,13.70,12.80,11.90,11.00,13.70,14.70,15.30,14.50,15.30,14.80,14.00,13.10,12.70,12.90,12.50,12.90,12.20,12.60,11.90,13.07,15.27,13.82
Japan,JPN,2.10,2.10,2.20,2.50,2.90,3.20,3.40,3.40,4.10,4.70,4.70,5.00,5.40,5.30,4.70,4.40,4.10,3.90,4.00,5.10,5.10,4.52,4.30,4.00,3.60,3.40,3.10,2.80
Kazakhstan,KAZ,0.05,0.05,0.40,0.75,1.10,1.45,1.80,2.15,2.50,2.85,3.20,3.55,3.90,4.25,4.60,4.95,5.30,5.65,6.00,6.55,5.77,5.39,5.29,5.20,5.06,4.93,4.96,4.90
Kyrgyz Republic,KGZ,10.35,10.25,10.14,10.03,9.93,9.82,9.72,9.61,9.51,9.40,7.54,7.84,12.55,9.92,8.53,8.11,8.27,8.10,8.22,8.41,8.64,8.53,8.43,8.33,8.05,7.56,7.21,6.89
Cambodia,KHM,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.89,0.92,0.96,1.00,1.03,1.07,1.11,1.15,1.18,1.22,1.26,0.64,0.58,0.77,0.58,0.55,0.44,0.69,0.39,0.72,0.62
Kiribati,KIR,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,30.58,30.58,30.58,30.58,30.58,9.33,9.33,9.33
St. Kitts and Nevis,KNA,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12
"Korea, Rep.",KOR,2.45,2.41,2.51,2.88,2.48,2.06,2.05,2.61,6.96,6.34,4.40,4.00,3.30,3.60,3.70,3.70,3.50,3.20,3.20,3.60,3.70,3.40,3.20,3.10,3.50,3.60,3.70,3.70
Latin America & Caribbean (excluding high income),LAC,6.31,7.02,6.22,5.41,6.97,7.02,7.62,7.39,8.37,9.03,9.68,8.02,8.68,8.65,7.70,7.85,6.68,7.05,6.35,7.44,7.28,6.48,6.85,6.83,6.81,6.78,8.37,8.74
Liberia,LBR,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,19.52,19.52,10.70,2.08,3.08,3.08
Libya,LBY,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.03
St. Lucia,LCA,16.80,16.80,16.80,16.80,14.85,15.11,15.37,15.63,15.90,16.16,16.42,16.68,16.94,22.18,20.97,18.70,16.00,14.00,12.72,15.37,18.02,18.86,19.06,22.21,23.39,24.09,21.26,18.44
Latin America & Caribbean,LCN,4.61,5.07,6.38,6.04,8.18,8.07,8.51,8.12,8.83,9.55,10.28,8.94,9.79,9.30,8.34,8.24,7.04,7.22,6.57,7.53,8.49,6.45,6.87,7.22,7.57,7.92,8.26,8.61
Liechtenstein,LIE,0.15,0.52,0.76,1.36,1.02,0.90,1.60,1.34,1.78,1.78,1.27,1.12,1.45,2.11,2.40,2.66,2.46,2.01,2.54,2.65,2.76,2.87,2.99,3.10,3.21,3.32,3.43,3.54
Sri Lanka,LKA,15.90,14.66,14.55,13.79,13.03,12.27,11.35,10.60,9.17,8.88,7.74,7.90,8.76,8.22,8.38,7.67,6.50,5.97,5.22,5.85,4.78,4.12,3.88,4.24,4.19,4.52,4.24,4.37
Late-demographic dividend,LTE,2.89,2.86,3.44,3.57,3.87,4.37,4.37,4.66,4.89,5.14,4.55,5.14,5.10,5.57,5.42,5.47,5.05,4.93,4.94,5.23,4.70,4.77,4.50,4.46,4.36,4.27,4.17,5.02
Lithuania,LTU,16.49,16.70,16.91,17.12,17.33,17.54,16.40,14.13,13.71,13.39,15.93,16.84,13.01,12.87,10.68,8.32,5.78,4.25,5.83,13.78,17.81,15.39,13.36,11.77,10.70,9.12,7.86,7.07
Luxembourg,LUX,1.61,1.48,2.03,2.33,3.48,2.92,3.29,2.53,2.76,2.39,2.35,1.80,2.62,3.67,5.11,4.49,4.73,4.07,5.06,5.12,4.36,4.90,5.14,5.85,5.85,6.67,6.29,5.52
Latvia,LVA,20.93,20.93,20.93,20.93,20.93,20.93,20.93,14.90,14.46,13.79,14.21,13.82,13.83,12.06,11.71,10.03,7.03,6.05,7.74,17.51,19.48,16.21,15.05,11.87,10.85,9.87,9.64,8.72
"Macao SAR, China",MAC,3.82,3.01,2.20,2.10,2.50,3.60,4.20,3.20,4.60,6.30,6.80,6.40,6.30,6.00,4.90,4.10,3.80,3.20,3.00,3.58,2.84,2.56,1.97,1.82,1.70,1.81,1.90,2.00
Morocco,MAR,15.80,16.98,15.68,15.69,14.83,22.86,17.76,16.67,19.12,13.94,13.58,12.46,11.59,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.70,9.46,9.30,9.14
Moldova,MDA,11.57,11.28,10.99,10.70,10.41,10.12,9.83,9.54,9.25,11.14,8.46,7.29,6.80,7.95,8.17,7.29,7.38,5.07,3.98,6.40,7.45,6.68,5.58,5.10,3.86,3.69,4.18,4.10
Middle East & North Africa,MEA,13.40,12.46,12.50,12.40,12.30,12.19,12.09,11.98,11.88,11.77,11.67,11.56,12.98,11.19,11.41,11.62,10.71,9.90,9.58,9.81,10.25,10.76,11.03,10.53,10.47,10.57,10.07,9.97
Mexico,MEX,1.45,3.05,3.10,3.21,4.25,6.89,5.25,4.05,3.57,2.49,2.56,2.54,3.00,3.46,3.94,3.56,3.57,3.63,3.87,5.36,5.30,5.17,4.89,4.91,4.81,4.31,3.86,3.42
Marshall Islands,MHL,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,25.37,25.37,25.37,25.37,25.37,25.37,4.74,4.74,4.74,4.74,4.74,4.74,4.74
