Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Namibia,NAM,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,26.98730087,27.21319962,27.81049919,27.81049919,27.91139984,27.91139984
New Caledonia,NCL,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954,11.47999954
Niger,NER,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,6.64109993,7.2,7.75890007,13.84889984,13.84889984,13.84889984,13.84889984
Nigeria,NGA,13.75902523,13.75902523,13.75902523,13.75902523,13.75902523,13.75902523,13.75902523,13.75902523,13.75+B86:K87902523,13.75902523,13.75902523,0.810000002,13.75902523,17.65950012,13.75902523,13.75902523,18.2833004,18.2833004
Netherlands,NLD,3.817833323,3.87358332,3.929333317,4.159999847,4.650000095,5,3.720000029,3.119999886,3.079999924,4.139999866,4.380000114,4.420000076,4.619999886,5.579999924,5.190000057,4.639999866,4.699999809,4.230000019
Norway,NOR,9.027904893,8.741047739,8.454190586,10.30000019,9.170000076,11.63000011,4.380000114,4.360000134,4.269999981,5.489999771,5.429999828,4.809999943,5.360000134,5.789999962,5.550000191,5.320000172,5.829999924,4.699999809
New Zealand,NZL,7.11167044,7.339538561,7.567406682,7.795274803,7.130000114,7.559999943,7.920000076,7.920000076,8.470000267,11.46000004,10.94999981,11.60000038,11.15999985,8.979999542,9.239999771,9.43999958,10.84000015,10.39000034
OECD members,OED,13.08992169,13.02638903,12.96285638,12.89932372,11.86313627,11.95237357,12.06720815,11.95762292,12.56296851,13.97888478,13.9006905,14.22256826,13.1973697,12.74784557,12.05614519,11.52531875,11.23098419,10.65648665
Pakistan,PAK,8.566754744,8.510034533,8.453314321,8.39659411,8.339873899,8.283153687,9.16590023,8.034700394,7.636000156,7.26940012,7.605999947,8.296199799,8.126300812,8.08880043,7.551300049,7.407299995,7.00096639,6.660216173
Panama,PAN,10.90781197,10.85354523,10.79927849,10.74501175,10.69074501,10.63647828,10.58221154,10.5279448,10.47367806,10.47000027,10.74170017,11.91720009,8.88560009,8.683699608,10.23499966,9.959300041,10.29889965,10.62969971
Peru,PER,13.13848101,13.17530735,12.08609962,10.53139973,15.90359974,18.86149979,13.64780045,12.51990032,12.38619995,12.28549957,12.20880032,12.4368,11.93369961,13.57820034,13.42409992,15.5138998,13.81449986,14.68130016
Philippines,PHL,20.69721292,20.40314513,20.10907734,19.81500956,19.52094177,19.22687398,18.1140995,18.56299973,17.8932991,18.11090088,18.85140038,17.54520035,17.7677002,17.63419914,16.87050056,15.68109989,15.47830009,15.2755003
Papua New Guinea,PNG,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999,26.44029999
Poland,POL,12.67591243,12.50793438,12.33995632,12.17197826,14.52000046,13.38000011,12.13000011,9.260000229,7.289999962,9.399999619,10.53999996,11.18999958,11.47000027,12.13000011,11.98999977,11.14999962,10,8.319999695
Portugal,PRT,9.494417494,9.631955954,9.769494413,9.907032872,9.710000038,10.18999958,9.859999657,9.760000229,8.920000076,10.64000034,10.40999985,12.18999958,14.56999969,14.19999981,12.28999996,10.39999962,10.81999969,9.180000305
Paraguay,PRY,15.69188309,14.14943314,12.45569992,11.36709976,9.370800018,9.070599556,9.169300079,9.786700249,7.239600182,7.672299862,28.74480057,31.31410027,34.33760071,33.40610123,33.80260086,31.62319946,33.62760162,9.614600182
West Bank and Gaza,PSE,19.25699997,27.37779999,29.12380028,25.34110069,24.68160057,22.3166008,22.91200066,23.70919991,24.6243,23.64030075,24.32040024,21.17639923,22.88800049,24.28079987,26.45739937,26.5890007,26.26059914,27.73550034
Post-demographic dividend,PST,12.77815259,12.75200133,12.72585007,12.69969881,11.80762873,12.67256053,11.6071461,11.51890058,12.42423517,13.53018579,13.74692791,14.52688483,13.39287274,13.05415183,12.45443534,11.89714506,11.54828051,10.86854578
Romania,ROU,14.88783342,14.81358341,14.73933341,17.37000084,17.88999939,14.86999989,12.96000004,11.57999992,8.81000042,11.23999977,14.18000031,16.29999924,15.18000031,15.31000042,15.34000015,14.97999954,14.10999966,12.06000042
Russian Federation,RUS,11.07702415,10.98726221,10.89750028,10.80773834,10.7179764,10.62821446,10.53845252,10.44869058,10.35892865,10.48999977,10.34000015,10.32999992,9.710000038,9.300000191,9.5,9.649999619,10.31999969,9.551071201
Rwanda,RWA,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,14.38755035,3.776599884,14.38755035,14.38755035,24.99850082
South Asia,SAS,9.890999794,9.890999794,9.890999794,9.890999794,7.579999924,8.40039058,8.40039058,8.40039058,8.40039058,8.40039058,8.562465501,8.562465501,7.96269989,7.96269989,7.96269989,7.96269989,7.96269989,7.96269989
Saudi Arabia,SAU,8.6100034,8.86000306,9.11000272,9.36000238,9.61000204,9.8600017,10.11000136,10.36000102,10.61000068,10.86000034,11.11,11.35999966,8.350000381,7.690000057,7.980000019,6.579999924,6.394999743,5.892999601
Sudan,SDN,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981,19.98019981
Singapore,SGP,4.27000153,4.260001377,4.250001224,4.240001071,4.230000918,4.220000765,4.210000612,4.200000459,4.190000306,4.180000153,4.17,4.159999847,4.690000057,3.309999943,3.109999895,2.909999847,2.849999905,3.460000038
Sierra Leone,SLE,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944,9.481699944
El Salvador,SLV,11.63298862,11.84028693,12.04758524,12.25488355,12.46218186,12.66948018,12.87677849,13.0840768,13.29137511,15.44999981,13.59430027,12.88220024,12.2802,12.75809956,16.12870026,15.54940033,15.39369965,14.91419983
